NumEstacao,NomeEntidade,EnderecoEstacao,SiglaUf,CodMunicipio,NomeMunicipio,Latitude,Longitude,2G,3G,4G,5G
665599323,VIVO,AVENIDA PRESIDENTE BANDEIRA 1921. ALECRIM  ,RN,2408102,Natal,05S4760,35W1256,SIM,,,
665599480,VIVO,RUA DO CAMPO S/N ,RN,2408102,Natal,05S4448,35W1221,SIM,SIM,SIM,
665599552,VIVO,RUA SACHET S/N ,RN,2408102,Natal,05S4644,35W1211,SIM,SIM,SIM,
665599633,VIVO,AVENIDA DOS XAVANTES S/N LOTE 60,RN,2408102,Natal,05S5210,35W1311,SIM,SIM,SIM,
665599676,VIVO,RUA PAIATIS 1661 ,RN,2408102,Natal,05S4753,35W1328,SIM,SIM,SIM,
665599714,VIVO,RUA VEREADOR MANOEL SATIRO S/N LOTE 18,RN,2408102,Natal,05S5250,35W1027,SIM,SIM,SIM,
665599773,VIVO, RUA FLORENCIO DE QUEIROZ - LOTE 18 QUADRA 10 - nº S/N S/N ,RN,2408102,Natal,05S5203,35W1119,SIM,SIM,SIM,
665600062,VIVO,RUA DESEMBARGADOR ADAUTO MAIA S/N EM FRENTE AO Nº 78,RN,2408102,Natal,05S4856,35W1305,SIM,SIM,SIM,
665600208,VIVO,RUA RAPOSO CAMARA 3482 ,RN,2408102,Natal,05S5018,35W1306,SIM,SIM,SIM,
665600399,VIVO,RUA RIO MEARIM S/N ,RN,2408102,Natal,05S5133,35W1408,SIM,SIM,SIM,
665603002,VIVO,TRAVESSA SAO DOMINGOS 690 ,RN,2408102,Natal,05S4557,35W1557,SIM,SIM,SIM,
665603010,VIVO,AVENIDA CIDADE PRAIA S/N LOTE 18 QUADRA C33,RN,2408102,Natal,05S4432,35W1556,SIM,SIM,SIM,
665603096,VIVO,TRAVESSA JARDIM DO EDEN S/N (LOTE 7387 - QUADRA 404),RN,2408102,Natal,05S5115,35W1511,SIM,SIM,SIM,
665603100,VIVO,RUA PADRE JOAO MARIA 55 ,RN,2403251,Parnamirim,05S5536,35W1605,SIM,SIM,,
665606109,TIM,RUA PROFESSOR FRANCISCO MAIA 114 ,RN,2405801,João Câmara,05S3214,35W4850,SIM,SIM,SIM,SIM
665606370,TIM,Rua Engenheiro Luciano Barros 108 -,RN,2412005,São Gonçalo do Amarante,05S4725,35W1826,SIM,SIM,SIM,SIM
665643829,VIVO,AVENIDA SILVIO BEZERRA DE MELO S/N ,RN,2403103,Currais Novos,06S1542,36W3100,SIM,SIM,,
665643837,VIVO,AVENIDA DIX SEPT ROSADO 56 -,RN,2408003,Mossoró,05S1132,37W2026,SIM,SIM,SIM,SIM
665643853,VIVO,R. OLAVO BILAC 88 ,RN,2408003,Mossoró,05S1201,37W2115,SIM,SIM,,
665643861,VIVO,RUA GILBERTO MARCELINO SOBRINHO (LOTEAM. PORTAL DO - LOTE 09 QUADRA. 23) S/N ,RN,2408003,Mossoró,05S1107,37W2200,SIM,SIM,,
665643870,VIVO,R. MELO FRANCO 2108 ,RN,2408003,Mossoró,05S1022,37W2012,SIM,SIM,,
665643888,VIVO,AV. PRESIDENTE DUTRA 2001 ,RN,2408003,Mossoró,05S1220,37W2006,SIM,SIM,,
665643896,VIVO,RUA MORAES DE NAVARRO 2030 ,RN,2408102,Natal,05S4927,35W1242,SIM,SIM,SIM,
665643900,VIVO,RUA RAIMUNDO CHAVES 2227. CANDELARIA  ,RN,2408102,Natal,05S4936,35W1340,SIM,,,
665643918,VIVO,RUA ESTRELA DO LESTE S/N ,RN,2408102,Natal,05S4545,35W1651,SIM,SIM,SIM,
665643926,VIVO,ESTRADA DO DISTRITO INDUSTRIAL S/N. NOSSA SENHORA DA APRESENTAÇÃO  ,RN,2408102,Natal,05S4434,35W1722,SIM,,,
665643934,VIVO,AVENIDA CENTRAL S/N ,RN,2403251,Parnamirim,05S5841,35W0736,SIM,SIM,SIM,
665732929,VIVO,RUA GENERAL DANTAS S/N ,RN,2402006,Caicó,06S2721,37W0544,SIM,SIM,,
665733275,VIVO,RUA DOS COQUEIROS - nº S/N S/N ,RN,2403608,Extremoz,05S4214,35W1730,SIM,SIM,SIM,
665733283,VIVO,RUA PROJETADA S/N ,RN,2403608,Extremoz,05S4323,35W1209,SIM,SIM,,
665733305,VIVO,ESTRADA DE GENIPABU - HOTEL DE GENIPABU S/N ,RN,2403608,Extremoz,05S4144,35W1319,SIM,SIM,,
665756259,VIVO,RUA SENADOR JOSE BERNARDO S/N ,RN,2407104,Macaíba,05S5125,35W2115,SIM,,,
665756801,VIVO,RUA DOUTOR JOAO MARCELINO S/N ,RN,2408003,Mossoró,05S1046,37W2111,SIM,SIM,,
665756810,VIVO,RUA SERIDO 755 ,RN,2408102,Natal,05S4703,35W1145,SIM,SIM,SIM,
665756836,VIVO,AVENIDA PRUDENTE DE MORAIS 757. TIROL  ,RN,2408102,Natal,05S4724,35W1206,SIM,,,
665756844,VIVO,RUA AFRANIO PEIXOTO S/N. BARRO VERMELHO  ,RN,2408102,Natal,05S4731,35W1233,SIM,,,
665756852,VIVO,RUA CIRO MONTEIRO S/N. TIROL  ,RN,2408102,Natal,05S4757,35W1206,SIM,,,
665756860,VIVO,RUA NOEL ROSA 856 ,RN,2408102,Natal,05S4803,35W1238,SIM,SIM,SIM,
665756879,VIVO,RUA DOUTOR POTY NOBREGA 1944 ,RN,2408102,Natal,05S4901,35W1225,SIM,SIM,SIM,
665756895,VIVO,AVENIDA PRUDENTE DE MORAIS 5456 ,RN,2408102,Natal,05S4941,35W1305,SIM,SIM,SIM,
665756917,VIVO,RUA NOSSA SENHORA DE LOURDES 1376. TIROL  ,RN,2408102,Natal,05S4832,35W1205,SIM,,,
665756925,VIVO, AVENIDA DOS IPES - nº S/N S/N ,RN,2408102,Natal,05S5120,35W1222,SIM,SIM,SIM,
665756976,VIVO,RUA PROJETADA (LOTE 20 QD D)20COTOVELO  ,RN,2403251,Parnamirim,05S5649,35W0924,SIM,,,
665757026,VIVO,RODOVIA BR-101 - KM 08 S/N ,RN,2403251,Parnamirim,05S5308,35W1403,SIM,SIM,,
665759460,VIVO,AVENIDA PROJETADA S/N ,RN,2408201,Nísia Floresta,06S0241,35W0644,SIM,SIM,,
665765436,VIVO,AVENIDA RIO BRANCO 550 ,RN,2408102,Natal,05S4704,35W1223,SIM,SIM,SIM,
667965980,VIVO,RUA PROJETADA - LOTE 18 QUADRA 16S/NPRAIA DE TABATINGA  ,RN,2408201,Nísia Floresta,06S0426,35W0611,SIM,,,
667977449,CLARO,R DOUTOR FRANCISCO IVO TRINDADE S/N ,RN,2408102,Natal,05S5004,35W1229,SIM,SIM,SIM,SIM
667977503,CLARO,R CLÓVIS JORDÃO DE ANDRADE S/N ,RN,2407104,Macaíba,05S5123,35W2127,SIM,SIM,SIM,SIM
667977562,CLARO,RUA EUGENIO ALBERTO LIRA SILVA S/N END ANTIGO: R CAP AVIADOR HERALDO CUNHA S/N - NOVA PARNAMIRIM,RN,2403251,Parnamirim,05S5259,35W1234,SIM,SIM,SIM,SIM
667991204,VIVO,RUA DA AMIZADE S/N ,RN,2408201,Nísia Floresta,06S0030,35W0633,SIM,SIM,,
667991220,VIVO,RUA MAJOR LULAS/NCENTRO  ,RN,2402006,Caicó,06S2752,37W0530,SIM,,,
667991328,VIVO, Via Costeira Senador Dinarte Medeiros Mariz - nº 4077 4077 ,RN,2408102,Natal,05S4943,35W1058,SIM,SIM,SIM,
667991336,VIVO,RUA ITAPORANGA S/N. CIDADE DA ESPE  ,RN,2408102,Natal,05S4919,35W1404,SIM,,,
667991352,VIVO,RUA JUSCELINO KUBITCHEKS/NPRAIA DE PIPA  ,RN,2414209,Tibau do Sul,06S1355,35W0257,SIM,,,
667991417,VIVO,THEODORICO GUILHERME S/N. NOVA DESCOBERT  ,RN,2408102,Natal,05S4900,35W1154,SIM,,,
667991514,VIVO,RODOVIA BR-304 S/N PRÓXIMO A BASE DA SAMU,RN,2407104,Macaíba,05S5202,35W1959,SIM,SIM,,
667991522,VIVO,AV. PRESIDENTE DUTRA S/N ,RN,2408003,Mossoró,05S1308,37W1940,SIM,SIM,,
667991530,VIVO,RUA PROJETADA 020 - LOTE 167-A QUADRA 72. PONTA NEGRA  ,RN,2408102,Natal,05S5303,35W1054,SIM,,,
667992537,VIVO,AVENIDA SENADOR MEDEIROS MARIZ S/N ,RN,2408102,Natal,05S4841,35W1054,SIM,SIM,,
667993363,VIVO,RUA PROJETADA - LOTEAMENTO LIBERDADES/NABOLICAO  ,RN,2408003,Mossoró,05S0946,37W2119,SIM,,,
667993398,VIVO,RUA CORONEL ANTUNES - nº S/N S/N ,RN,2414407,Touros,05S1156,35W2747,,SIM,,
667993576,VIVO,RUA PROFESSORA ELIZETE ASSUNCAO S/N ,RN,2403103,Currais Novos,06S1503,36W3101,SIM,SIM,,
668005564,CLARO,R GENESIA DE OLIVEIRA E SILVA S/N ,RN,2414407,Touros,05S1149,35W2739,SIM,SIM,SIM,
679352120,CLARO,R JOSÉ M MENEZES S/N ENDEREÇO CONTRATUAL: AV. MARECHAL FLORIANO PEIXOTO. S/N - CENTRO/ EM FRENTE AO GINÁSIO,RN,2401008,Apodi,05S3940,37W4752,SIM,SIM,SIM,
679376984,CLARO,R FRANCO OLIVEIRA 272 ,RN,2408300,Nova Cruz,06S2848,35W2557,SIM,SIM,SIM,
682682179,VIVO,AVENIDA BEIRA MAR3560CENTRO/BEIRA MAR  ,RN,2403608,Extremoz,05S3915,35W1305,SIM,,,
682687707,VIVO,RUA LUCAS BICALHO 57 ,RN,2408102,Natal,05S4622,35W1150,SIM,SIM,SIM,
682687774,VIVO,AVENIDA ARAGUARI S/N. DIX-SEPT ROSADO  ,RN,2408102,Natal,05S4827,35W1323,SIM,,,
682687790,VIVO,AVENIDA NASCIMENTO DE CASTRO S/N ,RN,2408102,Natal,05S4834,35W1347,SIM,SIM,SIM,
683012983,VIVO,BR 101 S/N ,RN,2401206,Arês,06S1232,35W1251,SIM,,,
683013017,VIVO,BR-101 S/N (KM 1175 - LOTE 94 QUADRA 05),RN,2412203,São José de Mipibu,06S0030,35W1525,SIM,SIM,,
683013025,VIVO,RUA PROF. OLAVO FELICIANO 91 ,RN,2412203,São José de Mipibu,06S0412,35W1421,SIM,SIM,SIM,
683013033,VIVO,BR 101  S/NZONA RURAL  ,RN,2402204,Canguaretama,06S2705,35W0638,SIM,,,
683013041,VIVO,RUA MONSENHOR JULIO A. BEZERRA S/N. CENTRO  ,RN,2400208,Açu,05S3431,36W5429,SIM,,,
683014137,VIVO,RODOVIA BR-101 S/N ZONA RURAL,RN,2412203,São José de Mipibu,06S0848,35W1340,SIM,,,
683014153,VIVO,FAZENDA PITUBA- C. S/NZONA RURAL  ,RN,2404200,Goianinha,06S2058,35W1002,SIM,,,
683014161,VIVO,RUA NOSSA SENHORA DE CARVALHO15CENTRO  ,RN,2404200,Goianinha,06S1614,35W1229,SIM,,,
683014218,VIVO,AVENIDA JOAO CANTILHO X RUA  PRINCIPALS/NCENTRO  ,RN,2411056,Tibau,04S5020,37W1511,SIM,,,
683367587,CLARO,R STOESSEL DE BRITO S/N SITIO SÃO PEDRO,RN,2407500,Maxaranguape,05S3118,35W1530,SIM,SIM,SIM,
683495305,TIM,RODOVIA BR 304 S/N KM 303 -35293056,RN,2407104,Macaíba,05S5248,35W1735,SIM,SIM,SIM,SIM
683495623,TIM,Rua Joao Atai De Melo - Br 226S/NCentro S/N -,RN,2414001,Tangará,06S1203,35W4809,SIM,,SIM,
683495640,TIM,RUA PROFESSOR ALOISIO MARTINS 100 ,RN,2408904,Parelhas,06S4122,36W3941,SIM,SIM,SIM,SIM
683585746,TIM,Avenida Senador Salgado Filho 1555 -,RN,2408102,Natal,05S4834,35W1209,SIM,SIM,SIM,SIM
683585819,TIM,Rua Maxaranguape 196 Lote 110 Quadra 11,RN,2403251,Parnamirim,05S5335,35W1211,SIM,SIM,SIM,SIM
